"variable","iso2","reference","cramer"
"tt_prevalence","CV","year",
"tt_prevalence","CV","longitude",
"tt_prevalence","CV","latitude",
"tt_prevalence","CV","hk_prevalence",1
"tt_prevalence","CV","asc_prevalence",1
"tt_prevalence","CV","tt_prevalence",1
"tt_prevalence","CV","coordinates",
"coordinates","CV","year",
"coordinates","CV","longitude",
"coordinates","CV","latitude",
"coordinates","CV","hk_prevalence",
"coordinates","CV","asc_prevalence",
"coordinates","CV","tt_prevalence",
"coordinates","CV","coordinates",
"year","EG","year",1
"year","EG","longitude",0
"year","EG","latitude",
"year","EG","hk_prevalence",0
"year","EG","asc_prevalence",
"year","EG","tt_prevalence",0
"year","EG","coordinates",
"longitude","EG","year",0
"longitude","EG","longitude",1
"longitude","EG","latitude",
"longitude","EG","hk_prevalence",0
"longitude","EG","asc_prevalence",
"longitude","EG","tt_prevalence",0
"longitude","EG","coordinates",
"latitude","EG","year",
"latitude","EG","longitude",
"latitude","EG","latitude",
"latitude","EG","hk_prevalence",
"latitude","EG","asc_prevalence",
"latitude","EG","tt_prevalence",
"latitude","EG","coordinates",
"hk_prevalence","EG","year",0
"hk_prevalence","EG","longitude",0
"hk_prevalence","EG","latitude",
"hk_prevalence","EG","hk_prevalence",1
"hk_prevalence","EG","asc_prevalence",
"hk_prevalence","EG","tt_prevalence",0
"hk_prevalence","EG","coordinates",
"asc_prevalence","EG","year",
"asc_prevalence","EG","longitude",
"asc_prevalence","EG","latitude",
"asc_prevalence","EG","hk_prevalence",
"asc_prevalence","EG","asc_prevalence",
"asc_prevalence","EG","tt_prevalence",
"asc_prevalence","EG","coordinates",
"tt_prevalence","EG","year",0
"tt_prevalence","EG","longitude",0
"tt_prevalence","EG","latitude",
"tt_prevalence","EG","hk_prevalence",0
"tt_prevalence","EG","asc_prevalence",
"tt_prevalence","EG","tt_prevalence",1
"tt_prevalence","EG","coordinates",
"coordinates","EG","year",
"coordinates","EG","longitude",
"coordinates","EG","latitude",
"coordinates","EG","hk_prevalence",
"coordinates","EG","asc_prevalence",
"coordinates","EG","tt_prevalence",
"coordinates","EG","coordinates",
"year","ER","year",
"year","ER","longitude",
"year","ER","latitude",
"year","ER","hk_prevalence",
"year","ER","asc_prevalence",
"year","ER","tt_prevalence",
"year","ER","coordinates",
"longitude","ER","year",
"longitude","ER","longitude",
"longitude","ER","latitude",
"longitude","ER","hk_prevalence",
"longitude","ER","asc_prevalence",
"longitude","ER","tt_prevalence",
"longitude","ER","coordinates",
"latitude","ER","year",
"latitude","ER","longitude",
"latitude","ER","latitude",1
"latitude","ER","hk_prevalence",
"latitude","ER","asc_prevalence",
"latitude","ER","tt_prevalence",
"latitude","ER","coordinates",1
"hk_prevalence","ER","year",
"hk_prevalence","ER","longitude",
"hk_prevalence","ER","latitude",
"hk_prevalence","ER","hk_prevalence",
"hk_prevalence","ER","asc_prevalence",
"hk_prevalence","ER","tt_prevalence",
"hk_prevalence","ER","coordinates",
"asc_prevalence","ER","year",
"asc_prevalence","ER","longitude",
"asc_prevalence","ER","latitude",
